transaction_id,scenario,expected_outcome,expected_invoice_amount_inr,expected_gateway_amount_inr,expected_bank_amount_inr,expected_gateway_fee_inr,human_review_required
TXN-000063,unexplained_discrepancy,unexplained_discrepancy,58250,58250,53450,0,True
TXN-000064,exact_match,matched,146750,146750,146750,0,False
TXN-000065,gateway_fee_deduction,matched_after_gateway_fee,77500,77500,76105,1395,False
TXN-000066,settlement_timing_difference,matched_after_timing_difference,130300,130300,130300,0,False
TXN-000067,partial_payment,partial_payment,31200,23150,23150,0,True
TXN-000068,duplicate_transaction,duplicate_gateway_transaction,70750,70750,70750,0,True
TXN-000069,missing_bank_settlement,missing_bank_settlement,32500,32500,,0,True
TXN-000070,unexplained_discrepancy,unexplained_discrepancy,12900,12900,12350,0,True
TXN-000071,exact_match,matched,111200,111200,111200,0,False
TXN-000072,gateway_fee_deduction,matched_after_gateway_fee,168150,168150,165123,3027,False
TXN-000073,settlement_timing_difference,matched_after_timing_difference,122200,122200,122200,0,False
TXN-000074,partial_payment,partial_payment,108800,104550,104550,0,True
TXN-000075,duplicate_transaction,duplicate_gateway_transaction,10950,10950,10950,0,True
TXN-000076,missing_bank_settlement,missing_bank_settlement,191950,191950,,0,True
TXN-000077,unexplained_discrepancy,unexplained_discrepancy,206250,206250,197350,0,True
TXN-000078,exact_match,matched,150950,150950,150950,0,False
TXN-000079,gateway_fee_deduction,matched_after_gateway_fee,160450,160450,157562,2888,False
TXN-000080,settlement_timing_difference,matched_after_timing_difference,152700,152700,152700,0,False
TXN-000081,partial_payment,partial_payment,46950,46500,46500,0,True
TXN-000082,duplicate_transaction,duplicate_gateway_transaction,108100,108100,108100,0,True
TXN-000083,missing_bank_settlement,missing_bank_settlement,195550,195550,,0,True
TXN-000084,unexplained_discrepancy,unexplained_discrepancy,108950,108950,106500,0,True
TXN-000085,exact_match,matched,103850,103850,103850,0,False
TXN-000086,gateway_fee_deduction,matched_after_gateway_fee,209000,209000,205238,3762,False
TXN-000087,settlement_timing_difference,matched_after_timing_difference,172900,172900,172900,0,False
TXN-000088,partial_payment,partial_payment,160500,158400,158400,0,True
TXN-000089,duplicate_transaction,duplicate_gateway_transaction,77900,77900,77900,0,True
TXN-000090,missing_bank_settlement,missing_bank_settlement,122750,122750,,0,True
TXN-000091,unexplained_discrepancy,unexplained_discrepancy,123950,123950,118750,0,True
TXN-000092,exact_match,matched,112950,112950,112950,0,False
TXN-000093,gateway_fee_deduction,matched_after_gateway_fee,49450,49450,48560,890,False
TXN-000094,settlement_timing_difference,matched_after_timing_difference,175150,175150,175150,0,False
TXN-000095,partial_payment,partial_payment,130950,130600,130600,0,True
TXN-000096,duplicate_transaction,duplicate_gateway_transaction,238450,238450,238450,0,True
TXN-000097,missing_bank_settlement,missing_bank_settlement,213850,213850,,0,True
TXN-000098,unexplained_discrepancy,unexplained_discrepancy,81500,81500,71550,0,True
TXN-000099,exact_match,matched,103550,103550,103550,0,False
TXN-000100,gateway_fee_deduction,matched_after_gateway_fee,224550,224550,220508,4042,False
TXN-000101,settlement_timing_difference,matched_after_timing_difference,133650,133650,133650,0,False
TXN-000102,partial_payment,partial_payment,79650,73400,73400,0,True
TXN-000103,duplicate_transaction,duplicate_gateway_transaction,233750,233750,233750,0,True
TXN-000104,missing_bank_settlement,missing_bank_settlement,52450,52450,,0,True
TXN-000105,unexplained_discrepancy,unexplained_discrepancy,66900,66900,62950,0,True
TXN-000106,exact_match,matched,243950,243950,243950,0,False
TXN-000107,gateway_fee_deduction,matched_after_gateway_fee,5300,5300,5205,95,False
TXN-000108,settlement_timing_difference,matched_after_timing_difference,88150,88150,88150,0,False
TXN-000109,partial_payment,partial_payment,2000,1900,1900,0,True
TXN-000110,duplicate_transaction,duplicate_gateway_transaction,221750,221750,221750,0,True
TXN-000111,missing_bank_settlement,missing_bank_settlement,21750,21750,,0,True
TXN-000112,unexplained_discrepancy,unexplained_discrepancy,56850,56850,51400,0,True
TXN-000113,exact_match,matched,71400,71400,71400,0,False
TXN-000114,gateway_fee_deduction,matched_after_gateway_fee,10200,10200,10016,184,False
TXN-000115,settlement_timing_difference,matched_after_timing_difference,8200,8200,8200,0,False
TXN-000116,partial_payment,partial_payment,109150,107550,107550,0,True
TXN-000117,duplicate_transaction,duplicate_gateway_transaction,232650,232650,232650,0,True
TXN-000118,missing_bank_settlement,missing_bank_settlement,41600,41600,,0,True
TXN-000119,unexplained_discrepancy,unexplained_discrepancy,229550,229550,223600,0,True
TXN-000120,exact_match,matched,165700,165700,165700,0,False
TXN-000121,gateway_fee_deduction,matched_after_gateway_fee,83750,83750,82243,1507,False
TXN-000122,settlement_timing_difference,matched_after_timing_difference,81350,81350,81350,0,False
TXN-000123,partial_payment,partial_payment,122350,118900,118900,0,True
TXN-000124,duplicate_transaction,duplicate_gateway_transaction,44150,44150,44150,0,True
TXN-000125,missing_bank_settlement,missing_bank_settlement,104200,104200,,0,True
TXN-000126,unexplained_discrepancy,unexplained_discrepancy,115200,115200,112300,0,True
TXN-000127,exact_match,matched,78200,78200,78200,0,False
TXN-000128,gateway_fee_deduction,matched_after_gateway_fee,107950,107950,106007,1943,False
TXN-000129,settlement_timing_difference,matched_after_timing_difference,206200,206200,206200,0,False
TXN-000130,partial_payment,partial_payment,65400,57600,57600,0,True
TXN-000131,duplicate_transaction,duplicate_gateway_transaction,192500,192500,192500,0,True
TXN-000132,missing_bank_settlement,missing_bank_settlement,191250,191250,,0,True
TXN-000133,unexplained_discrepancy,unexplained_discrepancy,83800,83800,79650,0,True
TXN-000134,exact_match,matched,132400,132400,132400,0,False
TXN-000135,gateway_fee_deduction,matched_after_gateway_fee,190850,190850,187415,3435,False
TXN-000136,settlement_timing_difference,matched_after_timing_difference,71750,71750,71750,0,False
TXN-000137,partial_payment,partial_payment,197100,187300,187300,0,True
TXN-000138,duplicate_transaction,duplicate_gateway_transaction,68450,68450,68450,0,True
TXN-000139,missing_bank_settlement,missing_bank_settlement,209350,209350,,0,True
TXN-000140,unexplained_discrepancy,unexplained_discrepancy,99350,99350,92400,0,True
TXN-000141,exact_match,matched,164050,164050,164050,0,False
TXN-000142,gateway_fee_deduction,matched_after_gateway_fee,221600,221600,217611,3989,False
TXN-000143,settlement_timing_difference,matched_after_timing_difference,36600,36600,36600,0,False
TXN-000144,partial_payment,partial_payment,75650,73750,73750,0,True
TXN-000145,duplicate_transaction,duplicate_gateway_transaction,215950,215950,215950,0,True
TXN-000146,missing_bank_settlement,missing_bank_settlement,138350,138350,,0,True
TXN-000147,unexplained_discrepancy,unexplained_discrepancy,94400,94400,94150,0,True
TXN-000148,exact_match,matched,233500,233500,233500,0,False
TXN-000149,gateway_fee_deduction,matched_after_gateway_fee,77800,77800,76400,1400,False
TXN-000150,settlement_timing_difference,matched_after_timing_difference,11500,11500,11500,0,False
TXN-000151,partial_payment,partial_payment,243200,237700,237700,0,True
TXN-000152,duplicate_transaction,duplicate_gateway_transaction,50450,50450,50450,0,True
TXN-000153,missing_bank_settlement,missing_bank_settlement,9550,9550,,0,True
TXN-000154,unexplained_discrepancy,unexplained_discrepancy,57000,57000,48350,0,True
TXN-000155,exact_match,matched,135000,135000,135000,0,False
TXN-000156,gateway_fee_deduction,matched_after_gateway_fee,218250,218250,214322,3928,False
TXN-000157,settlement_timing_difference,matched_after_timing_difference,106600,106600,106600,0,False
TXN-000158,partial_payment,partial_payment,150000,144100,144100,0,True
TXN-000159,duplicate_transaction,duplicate_gateway_transaction,103300,103300,103300,0,True
TXN-000160,missing_bank_settlement,missing_bank_settlement,167000,167000,,0,True
TXN-000161,unexplained_discrepancy,unexplained_discrepancy,134150,134150,124850,0,True
TXN-000162,exact_match,matched,30100,30100,30100,0,False
TXN-000163,gateway_fee_deduction,matched_after_gateway_fee,104600,104600,102717,1883,False
TXN-000164,settlement_timing_difference,matched_after_timing_difference,132250,132250,132250,0,False
TXN-000165,partial_payment,partial_payment,74500,72500,72500,0,True
TXN-000166,duplicate_transaction,duplicate_gateway_transaction,201550,201550,201550,0,True
TXN-000167,missing_bank_settlement,missing_bank_settlement,88450,88450,,0,True
TXN-000168,unexplained_discrepancy,unexplained_discrepancy,95900,95900,88050,0,True
TXN-000169,exact_match,matched,13800,13800,13800,0,False
TXN-000170,gateway_fee_deduction,matched_after_gateway_fee,209150,209150,205385,3765,False
TXN-000171,settlement_timing_difference,matched_after_timing_difference,179650,179650,179650,0,False
TXN-000172,partial_payment,partial_payment,222350,216150,216150,0,True
TXN-000173,duplicate_transaction,duplicate_gateway_transaction,153500,153500,153500,0,True
TXN-000174,missing_bank_settlement,missing_bank_settlement,68050,68050,,0,True
TXN-000175,unexplained_discrepancy,unexplained_discrepancy,45750,45750,37650,0,True
TXN-000176,exact_match,matched,237750,237750,237750,0,False
TXN-000177,gateway_fee_deduction,matched_after_gateway_fee,97750,97750,95991,1759,False
TXN-000178,settlement_timing_difference,matched_after_timing_difference,245750,245750,245750,0,False
TXN-000179,partial_payment,partial_payment,48650,46350,46350,0,True
TXN-000180,duplicate_transaction,duplicate_gateway_transaction,76300,76300,76300,0,True
TXN-000181,missing_bank_settlement,missing_bank_settlement,63500,63500,,0,True
TXN-000182,unexplained_discrepancy,unexplained_discrepancy,101550,101550,91700,0,True
TXN-000183,exact_match,matched,147850,147850,147850,0,False
TXN-000184,gateway_fee_deduction,matched_after_gateway_fee,84350,84350,82832,1518,False
TXN-000185,settlement_timing_difference,matched_after_timing_difference,74000,74000,74000,0,False
TXN-000186,partial_payment,partial_payment,19900,17700,17700,0,True
TXN-000187,duplicate_transaction,duplicate_gateway_transaction,200800,200800,200800,0,True
TXN-000188,missing_bank_settlement,missing_bank_settlement,113550,113550,,0,True
TXN-000189,unexplained_discrepancy,unexplained_discrepancy,47850,47850,46350,0,True
TXN-000190,exact_match,matched,160500,160500,160500,0,False
TXN-000191,gateway_fee_deduction,matched_after_gateway_fee,113800,113800,111752,2048,False
TXN-000192,settlement_timing_difference,matched_after_timing_difference,80500,80500,80500,0,False
TXN-000193,partial_payment,partial_payment,17650,14300,14300,0,True
TXN-000194,duplicate_transaction,duplicate_gateway_transaction,179300,179300,179300,0,True
TXN-000195,missing_bank_settlement,missing_bank_settlement,65250,65250,,0,True
TXN-000196,unexplained_discrepancy,unexplained_discrepancy,84650,84650,77650,0,True
TXN-000197,exact_match,matched,58900,58900,58900,0,False
TXN-000198,gateway_fee_deduction,matched_after_gateway_fee,35800,35800,35156,644,False
TXN-000199,settlement_timing_difference,matched_after_timing_difference,99600,99600,99600,0,False
TXN-000200,partial_payment,partial_payment,99850,96050,96050,0,True
TXN-000201,duplicate_transaction,duplicate_gateway_transaction,57850,57850,57850,0,True
TXN-000202,missing_bank_settlement,missing_bank_settlement,149400,149400,,0,True
TXN-000203,unexplained_discrepancy,unexplained_discrepancy,18150,18150,14450,0,True
TXN-000204,exact_match,matched,232300,232300,232300,0,False
TXN-000205,gateway_fee_deduction,matched_after_gateway_fee,19750,19750,19394,356,False
TXN-000206,settlement_timing_difference,matched_after_timing_difference,166350,166350,166350,0,False
TXN-000207,partial_payment,partial_payment,150300,142900,142900,0,True
TXN-000208,duplicate_transaction,duplicate_gateway_transaction,208300,208300,208300,0,True
TXN-000209,missing_bank_settlement,missing_bank_settlement,94500,94500,,0,True
TXN-000210,unexplained_discrepancy,unexplained_discrepancy,2200,2200,1500,0,True
TXN-000211,exact_match,matched,137050,137050,137050,0,False
TXN-000212,gateway_fee_deduction,matched_after_gateway_fee,130350,130350,128004,2346,False
TXN-000213,settlement_timing_difference,matched_after_timing_difference,233300,233300,233300,0,False
TXN-000214,partial_payment,partial_payment,149650,142050,142050,0,True
TXN-000215,duplicate_transaction,duplicate_gateway_transaction,238450,238450,238450,0,True
TXN-000216,missing_bank_settlement,missing_bank_settlement,231850,231850,,0,True
TXN-000217,unexplained_discrepancy,unexplained_discrepancy,243800,243800,238850,0,True
TXN-000218,exact_match,matched,204050,204050,204050,0,False
TXN-000219,gateway_fee_deduction,matched_after_gateway_fee,10400,10400,10213,187,False
TXN-000220,settlement_timing_difference,matched_after_timing_difference,230650,230650,230650,0,False
TXN-000221,partial_payment,partial_payment,36550,36350,36350,0,True
TXN-000222,duplicate_transaction,duplicate_gateway_transaction,9650,9650,9650,0,True
TXN-000223,missing_bank_settlement,missing_bank_settlement,185300,185300,,0,True
TXN-000224,unexplained_discrepancy,unexplained_discrepancy,86300,86300,83650,0,True
TXN-000225,exact_match,matched,149500,149500,149500,0,False
TXN-000226,gateway_fee_deduction,matched_after_gateway_fee,26750,26750,26269,481,False
TXN-000227,settlement_timing_difference,matched_after_timing_difference,249250,249250,249250,0,False
TXN-000228,partial_payment,partial_payment,80550,72350,72350,0,True
TXN-000229,duplicate_transaction,duplicate_gateway_transaction,17650,17650,17650,0,True
TXN-000230,missing_bank_settlement,missing_bank_settlement,35750,35750,,0,True
TXN-000231,unexplained_discrepancy,unexplained_discrepancy,86450,86450,77000,0,True
TXN-000232,exact_match,matched,192400,192400,192400,0,False
TXN-000233,gateway_fee_deduction,matched_after_gateway_fee,26350,26350,25876,474,False
TXN-000234,settlement_timing_difference,matched_after_timing_difference,3000,3000,3000,0,False
TXN-000235,partial_payment,partial_payment,6650,5300,5300,0,True
TXN-000236,duplicate_transaction,duplicate_gateway_transaction,116650,116650,116650,0,True
TXN-000237,missing_bank_settlement,missing_bank_settlement,40400,40400,,0,True
TXN-000238,unexplained_discrepancy,unexplained_discrepancy,225800,225800,223550,0,True
TXN-000239,exact_match,matched,81500,81500,81500,0,False
TXN-000240,gateway_fee_deduction,matched_after_gateway_fee,66550,66550,65352,1198,False
TXN-000241,settlement_timing_difference,matched_after_timing_difference,128700,128700,128700,0,False
TXN-000242,partial_payment,partial_payment,137500,136050,136050,0,True
TXN-000243,duplicate_transaction,duplicate_gateway_transaction,211550,211550,211550,0,True
TXN-000244,missing_bank_settlement,missing_bank_settlement,45750,45750,,0,True
TXN-000245,unexplained_discrepancy,unexplained_discrepancy,84750,84750,75350,0,True
TXN-000246,exact_match,matched,129200,129200,129200,0,False
TXN-000247,gateway_fee_deduction,matched_after_gateway_fee,198700,198700,195123,3577,False
TXN-000248,settlement_timing_difference,matched_after_timing_difference,194850,194850,194850,0,False
TXN-000249,partial_payment,partial_payment,213250,205450,205450,0,True
TXN-000250,duplicate_transaction,duplicate_gateway_transaction,134200,134200,134200,0,True
TXN-000251,missing_bank_settlement,missing_bank_settlement,59300,59300,,0,True
TXN-000252,unexplained_discrepancy,unexplained_discrepancy,189150,189150,185800,0,True
TXN-000253,exact_match,matched,92050,92050,92050,0,False
TXN-000254,gateway_fee_deduction,matched_after_gateway_fee,12850,12850,12619,231,False
TXN-000255,settlement_timing_difference,matched_after_timing_difference,226850,226850,226850,0,False
TXN-000256,partial_payment,partial_payment,243900,242650,242650,0,True
TXN-000257,duplicate_transaction,duplicate_gateway_transaction,241100,241100,241100,0,True
TXN-000258,missing_bank_settlement,missing_bank_settlement,197550,197550,,0,True
TXN-000259,unexplained_discrepancy,unexplained_discrepancy,122450,122450,116050,0,True
TXN-000260,exact_match,matched,64100,64100,64100,0,False
TXN-000261,gateway_fee_deduction,matched_after_gateway_fee,45550,45550,44730,820,False
TXN-000262,settlement_timing_difference,matched_after_timing_difference,73250,73250,73250,0,False
TXN-000263,partial_payment,partial_payment,149250,146350,146350,0,True
TXN-000264,duplicate_transaction,duplicate_gateway_transaction,209700,209700,209700,0,True
TXN-000265,missing_bank_settlement,missing_bank_settlement,157600,157600,,0,True
TXN-000266,unexplained_discrepancy,unexplained_discrepancy,203450,203450,197900,0,True
TXN-000267,exact_match,matched,27300,27300,27300,0,False
TXN-000268,gateway_fee_deduction,matched_after_gateway_fee,219050,219050,215107,3943,False
TXN-000269,settlement_timing_difference,matched_after_timing_difference,4650,4650,4650,0,False
TXN-000270,partial_payment,partial_payment,29750,19950,19950,0,True
TXN-000271,duplicate_transaction,duplicate_gateway_transaction,192950,192950,192950,0,True
TXN-000272,missing_bank_settlement,missing_bank_settlement,244750,244750,,0,True
TXN-000273,unexplained_discrepancy,unexplained_discrepancy,248650,248650,246750,0,True
TXN-000274,exact_match,matched,249900,249900,249900,0,False
TXN-000275,gateway_fee_deduction,matched_after_gateway_fee,22750,22750,22341,409,False
TXN-000276,settlement_timing_difference,matched_after_timing_difference,169600,169600,169600,0,False
TXN-000277,partial_payment,partial_payment,88150,80300,80300,0,True
TXN-000278,duplicate_transaction,duplicate_gateway_transaction,10800,10800,10800,0,True
TXN-000279,missing_bank_settlement,missing_bank_settlement,241650,241650,,0,True
TXN-000280,unexplained_discrepancy,unexplained_discrepancy,33250,33250,24950,0,True
TXN-000281,exact_match,matched,119250,119250,119250,0,False
TXN-000282,gateway_fee_deduction,matched_after_gateway_fee,29200,29200,28674,526,False
TXN-000283,settlement_timing_difference,matched_after_timing_difference,88850,88850,88850,0,False
TXN-000284,partial_payment,partial_payment,170650,161150,161150,0,True
TXN-000285,duplicate_transaction,duplicate_gateway_transaction,211450,211450,211450,0,True
TXN-000286,missing_bank_settlement,missing_bank_settlement,74900,74900,,0,True
TXN-000287,unexplained_discrepancy,unexplained_discrepancy,140600,140600,133050,0,True
TXN-000288,exact_match,matched,221500,221500,221500,0,False
TXN-000289,gateway_fee_deduction,matched_after_gateway_fee,71000,71000,69722,1278,False
TXN-000290,settlement_timing_difference,matched_after_timing_difference,115300,115300,115300,0,False
TXN-000291,partial_payment,partial_payment,179100,176050,176050,0,True
TXN-000292,duplicate_transaction,duplicate_gateway_transaction,61900,61900,61900,0,True
TXN-000293,missing_bank_settlement,missing_bank_settlement,189900,189900,,0,True
TXN-000294,unexplained_discrepancy,unexplained_discrepancy,220050,220050,218650,0,True
TXN-000295,exact_match,matched,84350,84350,84350,0,False
TXN-000296,gateway_fee_deduction,matched_after_gateway_fee,236150,236150,231899,4251,False
TXN-000297,settlement_timing_difference,matched_after_timing_difference,59100,59100,59100,0,False
TXN-000298,partial_payment,partial_payment,62050,58800,58800,0,True
TXN-000299,duplicate_transaction,duplicate_gateway_transaction,223800,223800,223800,0,True
TXN-000300,missing_bank_settlement,missing_bank_settlement,57350,57350,,0,True
TXN-000301,unexplained_discrepancy,unexplained_discrepancy,75450,75450,67750,0,True
TXN-000302,exact_match,matched,13550,13550,13550,0,False
TXN-000303,gateway_fee_deduction,matched_after_gateway_fee,217150,217150,213241,3909,False
TXN-000304,settlement_timing_difference,matched_after_timing_difference,58450,58450,58450,0,False
TXN-000305,partial_payment,partial_payment,175450,171400,171400,0,True
TXN-000306,duplicate_transaction,duplicate_gateway_transaction,213850,213850,213850,0,True
TXN-000307,missing_bank_settlement,missing_bank_settlement,46800,46800,,0,True
TXN-000308,unexplained_discrepancy,unexplained_discrepancy,144200,144200,143950,0,True
TXN-000309,exact_match,matched,194100,194100,194100,0,False
TXN-000310,gateway_fee_deduction,matched_after_gateway_fee,123200,123200,120982,2218,False
TXN-000311,settlement_timing_difference,matched_after_timing_difference,245600,245600,245600,0,False
TXN-000312,partial_payment,partial_payment,208250,203600,203600,0,True
TXN-000313,duplicate_transaction,duplicate_gateway_transaction,207700,207700,207700,0,True
TXN-000314,missing_bank_settlement,missing_bank_settlement,37700,37700,,0,True
TXN-000315,unexplained_discrepancy,unexplained_discrepancy,177550,177550,175050,0,True
TXN-000316,exact_match,matched,24150,24150,24150,0,False
TXN-000317,gateway_fee_deduction,matched_after_gateway_fee,90250,90250,88626,1624,False
TXN-000318,settlement_timing_difference,matched_after_timing_difference,173100,173100,173100,0,False
TXN-000319,partial_payment,partial_payment,84150,81950,81950,0,True
TXN-000320,duplicate_transaction,duplicate_gateway_transaction,113150,113150,113150,0,True
TXN-000321,missing_bank_settlement,missing_bank_settlement,176450,176450,,0,True
TXN-000322,unexplained_discrepancy,unexplained_discrepancy,179500,179500,177700,0,True
TXN-000323,exact_match,matched,29250,29250,29250,0,False
TXN-000324,gateway_fee_deduction,matched_after_gateway_fee,23400,23400,22979,421,False
TXN-000325,settlement_timing_difference,matched_after_timing_difference,81950,81950,81950,0,False
TXN-000326,partial_payment,partial_payment,210700,209150,209150,0,True
TXN-000327,duplicate_transaction,duplicate_gateway_transaction,42300,42300,42300,0,True
TXN-000328,missing_bank_settlement,missing_bank_settlement,165100,165100,,0,True
TXN-000329,unexplained_discrepancy,unexplained_discrepancy,134800,134800,126300,0,True
TXN-000330,exact_match,matched,99600,99600,99600,0,False
TXN-000331,gateway_fee_deduction,matched_after_gateway_fee,55950,55950,54943,1007,False
TXN-000332,settlement_timing_difference,matched_after_timing_difference,84700,84700,84700,0,False
TXN-000333,partial_payment,partial_payment,220600,212750,212750,0,True
TXN-000334,duplicate_transaction,duplicate_gateway_transaction,142600,142600,142600,0,True
TXN-000335,missing_bank_settlement,missing_bank_settlement,113900,113900,,0,True
TXN-000336,unexplained_discrepancy,unexplained_discrepancy,144800,144800,141950,0,True
TXN-000337,exact_match,matched,169000,169000,169000,0,False
TXN-000338,gateway_fee_deduction,matched_after_gateway_fee,154450,154450,151670,2780,False
TXN-000339,settlement_timing_difference,matched_after_timing_difference,153500,153500,153500,0,False
TXN-000340,partial_payment,partial_payment,237850,231200,231200,0,True
TXN-000341,duplicate_transaction,duplicate_gateway_transaction,35300,35300,35300,0,True
TXN-000342,missing_bank_settlement,missing_bank_settlement,177150,177150,,0,True
TXN-000343,unexplained_discrepancy,unexplained_discrepancy,64350,64350,60700,0,True
TXN-000344,exact_match,matched,86950,86950,86950,0,False
TXN-000345,gateway_fee_deduction,matched_after_gateway_fee,217600,217600,213683,3917,False
TXN-000346,settlement_timing_difference,matched_after_timing_difference,128150,128150,128150,0,False
TXN-000347,partial_payment,partial_payment,51650,46450,46450,0,True
TXN-000348,duplicate_transaction,duplicate_gateway_transaction,95050,95050,95050,0,True
TXN-000349,missing_bank_settlement,missing_bank_settlement,249450,249450,,0,True
TXN-000350,unexplained_discrepancy,unexplained_discrepancy,212450,212450,205100,0,True
TXN-000351,exact_match,matched,93750,93750,93750,0,False
TXN-000352,gateway_fee_deduction,matched_after_gateway_fee,213950,213950,210099,3851,False
TXN-000353,settlement_timing_difference,matched_after_timing_difference,210000,210000,210000,0,False
TXN-000354,partial_payment,partial_payment,158900,158150,158150,0,True
TXN-000355,duplicate_transaction,duplicate_gateway_transaction,248600,248600,248600,0,True
TXN-000356,missing_bank_settlement,missing_bank_settlement,163700,163700,,0,True
TXN-000357,unexplained_discrepancy,unexplained_discrepancy,42450,42450,39650,0,True
TXN-000358,exact_match,matched,150200,150200,150200,0,False
TXN-000359,gateway_fee_deduction,matched_after_gateway_fee,247200,247200,242750,4450,False
TXN-000360,settlement_timing_difference,matched_after_timing_difference,131950,131950,131950,0,False
TXN-000361,partial_payment,partial_payment,231100,226250,226250,0,True
TXN-000362,duplicate_transaction,duplicate_gateway_transaction,32200,32200,32200,0,True
TXN-000363,missing_bank_settlement,missing_bank_settlement,147000,147000,,0,True
