transaction_id,bank_settlement_id,settlement_date,amount_inr,currency
TXN-000074,BNK-000074,2025-05-08,104550,INR
TXN-000075,BNK-000075,2025-12-27,10950,INR
TXN-000077,BNK-000077,2025-04-28,197350,INR
TXN-000078,BNK-000078,2025-10-27,150950,INR
TXN-000079,BNK-000079,2025-11-30,157562,INR
TXN-000080,BNK-000080,2025-04-22,152700,INR
TXN-000081,BNK-000081,2025-09-28,46500,INR
TXN-000082,BNK-000082,2025-10-26,108100,INR
TXN-000084,BNK-000084,2025-07-19,106500,INR
TXN-000085,BNK-000085,2025-04-19,103850,INR
TXN-000086,BNK-000086,2025-08-14,205238,INR
TXN-000087,BNK-000087,2025-11-04,172900,INR
TXN-000088,BNK-000088,2025-04-04,158400,INR
TXN-000089,BNK-000089,2025-02-04,77900,INR
TXN-000091,BNK-000091,2025-03-07,118750,INR
TXN-000092,BNK-000092,2025-01-18,112950,INR
TXN-000093,BNK-000093,2025-07-16,48560,INR
TXN-000094,BNK-000094,2025-10-04,175150,INR
TXN-000095,BNK-000095,2025-03-27,130600,INR
TXN-000096,BNK-000096,2025-10-18,238450,INR
TXN-000098,BNK-000098,2025-02-12,71550,INR
TXN-000099,BNK-000099,2025-06-23,103550,INR
TXN-000100,BNK-000100,2025-04-22,220508,INR
TXN-000101,BNK-000101,2025-05-09,133650,INR
TXN-000102,BNK-000102,2025-06-24,73400,INR
TXN-000103,BNK-000103,2025-07-09,233750,INR
TXN-000105,BNK-000105,2025-02-28,62950,INR
TXN-000106,BNK-000106,2025-07-02,243950,INR
TXN-000107,BNK-000107,2025-07-30,5205,INR
TXN-000108,BNK-000108,2025-06-29,88150,INR
TXN-000109,BNK-000109,2025-08-28,1900,INR
TXN-000110,BNK-000110,2025-03-11,221750,INR
TXN-000112,BNK-000112,2025-01-18,51400,INR
TXN-000113,BNK-000113,2025-05-09,71400,INR
TXN-000114,BNK-000114,2025-01-14,10016,INR
TXN-000115,BNK-000115,2026-01-03,8200,INR
TXN-000116,BNK-000116,2025-08-02,107550,INR
TXN-000117,BNK-000117,2025-10-13,232650,INR
TXN-000119,BNK-000119,2025-05-19,223600,INR
TXN-000120,BNK-000120,2025-02-07,165700,INR
TXN-000121,BNK-000121,2025-02-07,82243,INR
TXN-000122,BNK-000122,2025-10-21,81350,INR
TXN-000123,BNK-000123,2025-02-08,118900,INR
TXN-000124,BNK-000124,2025-11-19,44150,INR
TXN-000126,BNK-000126,2025-09-21,112300,INR
TXN-000127,BNK-000127,2025-04-02,78200,INR
TXN-000128,BNK-000128,2025-05-04,106007,INR
TXN-000129,BNK-000129,2025-05-09,206200,INR
TXN-000130,BNK-000130,2025-06-23,57600,INR
TXN-000131,BNK-000131,2025-06-09,192500,INR
TXN-000133,BNK-000133,2025-10-12,79650,INR
TXN-000134,BNK-000134,2025-05-03,132400,INR
TXN-000135,BNK-000135,2025-08-19,187415,INR
TXN-000136,BNK-000136,2025-10-26,71750,INR
TXN-000137,BNK-000137,2025-04-15,187300,INR
TXN-000138,BNK-000138,2025-05-26,68450,INR
TXN-000140,BNK-000140,2025-11-24,92400,INR
TXN-000141,BNK-000141,2025-07-20,164050,INR
TXN-000142,BNK-000142,2025-07-17,217611,INR
TXN-000143,BNK-000143,2025-09-29,36600,INR
TXN-000144,BNK-000144,2025-01-07,73750,INR
TXN-000145,BNK-000145,2025-04-07,215950,INR
TXN-000147,BNK-000147,2025-10-05,94150,INR
TXN-000148,BNK-000148,2025-11-06,233500,INR
TXN-000149,BNK-000149,2025-09-12,76400,INR
TXN-000150,BNK-000150,2025-01-22,11500,INR
TXN-000151,BNK-000151,2025-08-09,237700,INR
TXN-000152,BNK-000152,2025-11-30,50450,INR
TXN-000154,BNK-000154,2025-05-10,48350,INR
TXN-000155,BNK-000155,2025-02-20,135000,INR
TXN-000156,BNK-000156,2025-08-01,214322,INR
TXN-000157,BNK-000157,2025-01-20,106600,INR
TXN-000158,BNK-000158,2025-05-23,144100,INR
TXN-000159,BNK-000159,2025-02-01,103300,INR
TXN-000161,BNK-000161,2025-05-27,124850,INR
TXN-000162,BNK-000162,2025-04-10,30100,INR
TXN-000163,BNK-000163,2025-12-09,102717,INR
TXN-000164,BNK-000164,2025-12-19,132250,INR
TXN-000165,BNK-000165,2025-06-08,72500,INR
TXN-000166,BNK-000166,2025-05-05,201550,INR
TXN-000168,BNK-000168,2025-12-27,88050,INR
TXN-000169,BNK-000169,2025-03-06,13800,INR
TXN-000170,BNK-000170,2025-09-22,205385,INR
TXN-000171,BNK-000171,2025-11-06,179650,INR
TXN-000172,BNK-000172,2025-01-06,216150,INR
TXN-000173,BNK-000173,2025-12-09,153500,INR
TXN-000175,BNK-000175,2025-05-31,37650,INR
TXN-000176,BNK-000176,2025-10-22,237750,INR
TXN-000177,BNK-000177,2025-03-18,95991,INR
TXN-000178,BNK-000178,2025-06-04,245750,INR
TXN-000179,BNK-000179,2025-06-17,46350,INR
TXN-000180,BNK-000180,2025-12-03,76300,INR
TXN-000182,BNK-000182,2025-01-26,91700,INR
TXN-000183,BNK-000183,2025-08-09,147850,INR
TXN-000184,BNK-000184,2025-10-22,82832,INR
TXN-000185,BNK-000185,2025-04-23,74000,INR
TXN-000186,BNK-000186,2025-02-14,17700,INR
TXN-000187,BNK-000187,2025-06-27,200800,INR
TXN-000189,BNK-000189,2025-06-02,46350,INR
TXN-000190,BNK-000190,2025-10-19,160500,INR
TXN-000191,BNK-000191,2025-08-28,111752,INR
TXN-000192,BNK-000192,2025-06-28,80500,INR
TXN-000193,BNK-000193,2025-08-22,14300,INR
TXN-000194,BNK-000194,2025-06-03,179300,INR
TXN-000196,BNK-000196,2025-11-05,77650,INR
TXN-000197,BNK-000197,2025-03-17,58900,INR
TXN-000198,BNK-000198,2025-12-31,35156,INR
TXN-000199,BNK-000199,2025-05-20,99600,INR
TXN-000200,BNK-000200,2025-08-18,96050,INR
TXN-000201,BNK-000201,2025-09-11,57850,INR
TXN-000203,BNK-000203,2025-01-22,14450,INR
TXN-000204,BNK-000204,2025-01-28,232300,INR
TXN-000205,BNK-000205,2025-11-09,19394,INR
TXN-000206,BNK-000206,2026-01-14,166350,INR
TXN-000207,BNK-000207,2025-08-22,142900,INR
TXN-000208,BNK-000208,2025-09-10,208300,INR
TXN-000210,BNK-000210,2025-08-20,1500,INR
TXN-000211,BNK-000211,2025-08-01,137050,INR
TXN-000212,BNK-000212,2025-08-14,128004,INR
TXN-000213,BNK-000213,2025-03-14,233300,INR
TXN-000214,BNK-000214,2025-04-17,142050,INR
TXN-000215,BNK-000215,2025-04-12,238450,INR
TXN-000217,BNK-000217,2025-08-06,238850,INR
TXN-000218,BNK-000218,2025-09-07,204050,INR
TXN-000219,BNK-000219,2025-11-08,10213,INR
TXN-000220,BNK-000220,2025-11-23,230650,INR
TXN-000221,BNK-000221,2025-04-13,36350,INR
TXN-000222,BNK-000222,2025-04-23,9650,INR
TXN-000224,BNK-000224,2025-02-13,83650,INR
TXN-000225,BNK-000225,2025-02-17,149500,INR
TXN-000226,BNK-000226,2025-01-09,26269,INR
TXN-000227,BNK-000227,2025-08-12,249250,INR
TXN-000228,BNK-000228,2025-06-03,72350,INR
TXN-000229,BNK-000229,2025-09-26,17650,INR
TXN-000231,BNK-000231,2025-08-11,77000,INR
TXN-000232,BNK-000232,2025-11-25,192400,INR
TXN-000233,BNK-000233,2025-02-14,25876,INR
TXN-000234,BNK-000234,2025-02-19,3000,INR
TXN-000235,BNK-000235,2025-11-02,5300,INR
TXN-000236,BNK-000236,2025-09-02,116650,INR
TXN-000238,BNK-000238,2025-07-20,223550,INR
TXN-000239,BNK-000239,2025-06-08,81500,INR
TXN-000240,BNK-000240,2025-07-10,65352,INR
TXN-000241,BNK-000241,2025-09-12,128700,INR
TXN-000242,BNK-000242,2025-01-12,136050,INR
TXN-000243,BNK-000243,2025-05-30,211550,INR
TXN-000245,BNK-000245,2025-03-08,75350,INR
TXN-000246,BNK-000246,2025-12-30,129200,INR
TXN-000247,BNK-000247,2025-11-26,195123,INR
TXN-000248,BNK-000248,2025-05-30,194850,INR
TXN-000249,BNK-000249,2025-04-30,205450,INR
TXN-000250,BNK-000250,2025-04-20,134200,INR
TXN-000252,BNK-000252,2025-12-16,185800,INR
TXN-000253,BNK-000253,2025-09-02,92050,INR
TXN-000254,BNK-000254,2025-04-14,12619,INR
TXN-000255,BNK-000255,2025-03-09,226850,INR
TXN-000256,BNK-000256,2025-10-19,242650,INR
TXN-000257,BNK-000257,2025-12-30,241100,INR
TXN-000259,BNK-000259,2025-09-09,116050,INR
TXN-000260,BNK-000260,2025-10-29,64100,INR
TXN-000261,BNK-000261,2025-08-22,44730,INR
TXN-000262,BNK-000262,2025-10-21,73250,INR
TXN-000263,BNK-000263,2025-12-27,146350,INR
TXN-000264,BNK-000264,2025-12-21,209700,INR
TXN-000266,BNK-000266,2025-10-02,197900,INR
TXN-000267,BNK-000267,2025-03-05,27300,INR
TXN-000268,BNK-000268,2025-04-24,215107,INR
TXN-000269,BNK-000269,2025-04-19,4650,INR
TXN-000270,BNK-000270,2025-11-27,19950,INR
TXN-000271,BNK-000271,2025-11-15,192950,INR
TXN-000273,BNK-000273,2025-09-09,246750,INR
TXN-000274,BNK-000274,2025-08-13,249900,INR
TXN-000275,BNK-000275,2025-08-02,22341,INR
TXN-000276,BNK-000276,2026-01-03,169600,INR
TXN-000277,BNK-000277,2025-10-15,80300,INR
TXN-000278,BNK-000278,2025-08-02,10800,INR
TXN-000280,BNK-000280,2025-07-28,24950,INR
TXN-000281,BNK-000281,2025-01-13,119250,INR
TXN-000282,BNK-000282,2025-03-26,28674,INR
TXN-000283,BNK-000283,2025-06-04,88850,INR
TXN-000284,BNK-000284,2025-11-25,161150,INR
TXN-000285,BNK-000285,2025-04-05,211450,INR
TXN-000287,BNK-000287,2025-09-14,133050,INR
TXN-000288,BNK-000288,2025-03-27,221500,INR
TXN-000289,BNK-000289,2025-03-02,69722,INR
TXN-000290,BNK-000290,2025-02-09,115300,INR
TXN-000291,BNK-000291,2025-11-07,176050,INR
TXN-000292,BNK-000292,2025-08-06,61900,INR
TXN-000294,BNK-000294,2025-05-27,218650,INR
TXN-000295,BNK-000295,2025-09-17,84350,INR
TXN-000296,BNK-000296,2025-03-15,231899,INR
TXN-000297,BNK-000297,2025-12-08,59100,INR
TXN-000298,BNK-000298,2025-04-06,58800,INR
TXN-000299,BNK-000299,2025-04-23,223800,INR
TXN-000301,BNK-000301,2025-05-12,67750,INR
TXN-000302,BNK-000302,2025-08-13,13550,INR
TXN-000303,BNK-000303,2025-02-16,213241,INR
TXN-000304,BNK-000304,2025-12-12,58450,INR
TXN-000305,BNK-000305,2025-10-03,171400,INR
TXN-000306,BNK-000306,2025-06-22,213850,INR
TXN-000308,BNK-000308,2025-03-26,143950,INR
TXN-000309,BNK-000309,2025-04-20,194100,INR
TXN-000310,BNK-000310,2025-07-06,120982,INR
TXN-000311,BNK-000311,2025-08-14,245600,INR
TXN-000312,BNK-000312,2025-10-21,203600,INR
TXN-000313,BNK-000313,2025-07-04,207700,INR
TXN-000315,BNK-000315,2025-08-08,175050,INR
TXN-000316,BNK-000316,2025-11-12,24150,INR
TXN-000317,BNK-000317,2025-05-17,88626,INR
TXN-000318,BNK-000318,2025-02-25,173100,INR
TXN-000319,BNK-000319,2025-07-06,81950,INR
TXN-000320,BNK-000320,2025-09-12,113150,INR
TXN-000322,BNK-000322,2025-08-30,177700,INR
TXN-000323,BNK-000323,2025-09-08,29250,INR
TXN-000324,BNK-000324,2025-11-30,22979,INR
TXN-000325,BNK-000325,2025-05-17,81950,INR
TXN-000326,BNK-000326,2025-06-11,209150,INR
TXN-000327,BNK-000327,2025-10-01,42300,INR
TXN-000329,BNK-000329,2025-04-30,126300,INR
TXN-000330,BNK-000330,2025-01-25,99600,INR
TXN-000331,BNK-000331,2025-10-01,54943,INR
TXN-000332,BNK-000332,2026-01-03,84700,INR
TXN-000333,BNK-000333,2025-04-12,212750,INR
TXN-000334,BNK-000334,2025-08-28,142600,INR
TXN-000336,BNK-000336,2025-02-18,141950,INR
TXN-000337,BNK-000337,2025-03-21,169000,INR
TXN-000338,BNK-000338,2025-12-02,151670,INR
TXN-000339,BNK-000339,2025-05-23,153500,INR
TXN-000340,BNK-000340,2025-04-15,231200,INR
TXN-000341,BNK-000341,2025-09-12,35300,INR
TXN-000343,BNK-000343,2025-02-18,60700,INR
TXN-000344,BNK-000344,2025-06-06,86950,INR
TXN-000345,BNK-000345,2025-06-01,213683,INR
TXN-000346,BNK-000346,2025-01-31,128150,INR
TXN-000347,BNK-000347,2025-08-30,46450,INR
TXN-000348,BNK-000348,2025-04-30,95050,INR
TXN-000350,BNK-000350,2025-03-03,205100,INR
TXN-000351,BNK-000351,2025-04-07,93750,INR
TXN-000352,BNK-000352,2025-08-08,210099,INR
TXN-000353,BNK-000353,2025-08-31,210000,INR
TXN-000354,BNK-000354,2025-03-03,158150,INR
TXN-000355,BNK-000355,2025-02-28,248600,INR
TXN-000357,BNK-000357,2025-05-27,39650,INR
TXN-000358,BNK-000358,2025-05-18,150200,INR
TXN-000359,BNK-000359,2025-12-24,242750,INR
TXN-000360,BNK-000360,2025-02-17,131950,INR
TXN-000361,BNK-000361,2025-07-27,226250,INR
TXN-000362,BNK-000362,2025-02-11,32200,INR
TXN-000364,BNK-000364,2025-01-12,156150,INR
TXN-000365,BNK-000365,2025-06-03,124850,INR
TXN-000366,BNK-000366,2025-03-05,164731,INR
TXN-000367,BNK-000367,2025-09-03,103350,INR
TXN-000368,BNK-000368,2025-11-26,206600,INR
TXN-000369,BNK-000369,2025-06-26,150850,INR
TXN-000371,BNK-000371,2025-03-15,137150,INR
TXN-000372,BNK-000372,2025-01-30,197350,INR
TXN-000373,BNK-000373,2025-10-30,6923,INR
TXN-000374,BNK-000374,2025-03-11,64900,INR
TXN-000375,BNK-000375,2025-08-29,136950,INR
TXN-000376,BNK-000376,2025-11-28,180200,INR
TXN-000378,BNK-000378,2025-07-30,160200,INR
TXN-000379,BNK-000379,2025-05-06,200500,INR
TXN-000380,BNK-000380,2025-10-07,135123,INR
TXN-000381,BNK-000381,2025-04-24,209000,INR
TXN-000382,BNK-000382,2025-10-25,154150,INR
TXN-000383,BNK-000383,2025-03-25,127350,INR
TXN-000385,BNK-000385,2025-11-28,114450,INR
TXN-000386,BNK-000386,2025-06-14,155800,INR
TXN-000387,BNK-000387,2025-12-27,101588,INR
TXN-000388,BNK-000388,2025-07-31,39650,INR
TXN-000389,BNK-000389,2025-08-26,28550,INR
TXN-000390,BNK-000390,2025-03-10,205950,INR
TXN-000392,BNK-000392,2025-07-14,33900,INR
TXN-000393,BNK-000393,2025-01-29,172000,INR
TXN-000394,BNK-000394,2025-11-28,117104,INR
TXN-000395,BNK-000395,2025-01-23,16300,INR
TXN-000396,BNK-000396,2025-09-20,154000,INR
TXN-000397,BNK-000397,2025-05-11,211300,INR
TXN-000399,BNK-000399,2025-08-09,39450,INR
TXN-000400,BNK-000400,2025-05-23,193000,INR
TXN-000401,BNK-000401,2025-09-30,42079,INR
TXN-000402,BNK-000402,2025-07-26,178850,INR
TXN-000403,BNK-000403,2025-11-30,12300,INR
TXN-000404,BNK-000404,2025-04-10,5950,INR
TXN-000406,BNK-000406,2025-01-11,140950,INR
TXN-000407,BNK-000407,2025-07-25,69100,INR
TXN-000408,BNK-000408,2025-06-08,178233,INR
TXN-000409,BNK-000409,2025-06-28,176900,INR
TXN-000410,BNK-000410,2025-03-01,63650,INR
TXN-000411,BNK-000411,2025-05-17,134900,INR
TXN-000413,BNK-000413,2025-04-19,109000,INR
TXN-000414,BNK-000414,2025-07-03,110600,INR
TXN-000415,BNK-000415,2025-04-10,6432,INR
TXN-000416,BNK-000416,2025-05-28,197700,INR
TXN-000417,BNK-000417,2025-09-12,230100,INR
TXN-000418,BNK-000418,2025-11-24,91350,INR
TXN-000420,BNK-000420,2025-08-24,114300,INR
TXN-000421,BNK-000421,2025-03-22,105650,INR
TXN-000422,BNK-000422,2025-01-03,41293,INR
TXN-000423,BNK-000423,2026-01-01,177200,INR
TXN-000424,BNK-000424,2026-01-02,68950,INR
TXN-000425,BNK-000425,2025-01-11,103400,INR
TXN-000427,BNK-000427,2025-04-05,119100,INR
TXN-000428,BNK-000428,2025-08-08,125750,INR
TXN-000429,BNK-000429,2025-09-23,16498,INR
TXN-000430,BNK-000430,2025-05-28,103650,INR
TXN-000431,BNK-000431,2025-09-27,57750,INR
TXN-000432,BNK-000432,2025-01-04,19800,INR
TXN-000434,BNK-000434,2025-11-13,208550,INR
TXN-000435,BNK-000435,2025-08-22,192200,INR
TXN-000436,BNK-000436,2025-03-26,78953,INR
TXN-000437,BNK-000437,2025-12-02,120600,INR
TXN-000438,BNK-000438,2025-05-13,70150,INR
TXN-000439,BNK-000439,2025-06-26,196000,INR
TXN-000441,BNK-000441,2025-12-23,100100,INR
TXN-000442,BNK-000442,2025-11-10,19750,INR
TXN-000443,BNK-000443,2025-05-26,222325,INR
TXN-000444,BNK-000444,2025-12-15,156950,INR
TXN-000445,BNK-000445,2025-06-14,31400,INR
TXN-000446,BNK-000446,2025-04-05,226700,INR
TXN-000448,BNK-000448,2025-08-25,201250,INR
TXN-000449,BNK-000449,2025-08-12,36250,INR
TXN-000450,BNK-000450,2025-05-10,46154,INR
TXN-000451,BNK-000451,2025-02-01,131450,INR
TXN-000452,BNK-000452,2025-07-10,71250,INR
TXN-000453,BNK-000453,2025-11-05,53800,INR
TXN-000455,BNK-000455,2025-06-02,50300,INR
TXN-000456,BNK-000456,2025-02-22,233000,INR
TXN-000457,BNK-000457,2025-10-31,57005,INR
TXN-000458,BNK-000458,2025-12-01,229400,INR
TXN-000459,BNK-000459,2025-11-15,220350,INR
TXN-000460,BNK-000460,2025-02-16,130550,INR
TXN-000462,BNK-000462,2025-04-07,156800,INR
TXN-000463,BNK-000463,2025-09-08,231950,INR
TXN-000464,BNK-000464,2025-10-21,89853,INR
TXN-000465,BNK-000465,2025-10-25,95200,INR
TXN-000466,BNK-000466,2025-09-15,40800,INR
TXN-000467,BNK-000467,2025-08-09,67600,INR
TXN-000469,BNK-000469,2025-04-02,111100,INR
TXN-000470,BNK-000470,2025-01-20,220550,INR
TXN-000471,BNK-000471,2025-01-16,154665,INR
TXN-000472,BNK-000472,2025-05-24,73150,INR
TXN-000473,BNK-000473,2025-12-24,49050,INR
TXN-000474,BNK-000474,2025-05-24,101000,INR
TXN-000476,BNK-000476,2025-09-13,3650,INR
TXN-000477,BNK-000477,2025-09-15,70350,INR
TXN-000478,BNK-000478,2025-12-08,207497,INR
TXN-000479,BNK-000479,2025-09-28,105600,INR
TXN-000480,BNK-000480,2025-01-05,111600,INR
TXN-000481,BNK-000481,2025-12-20,188400,INR
TXN-000483,BNK-000483,2025-03-21,20100,INR
TXN-000484,BNK-000484,2025-08-26,139300,INR
TXN-000485,BNK-000485,2025-08-20,234649,INR
TXN-000486,BNK-000486,2025-12-05,53200,INR
TXN-000487,BNK-000487,2025-05-01,246850,INR
TXN-000488,BNK-000488,2025-10-01,29200,INR
TXN-000490,BNK-000490,2025-06-07,238750,INR
TXN-000491,BNK-000491,2025-02-16,242700,INR
TXN-000492,BNK-000492,2025-05-17,111113,INR
TXN-000493,BNK-000493,2025-10-05,37750,INR
TXN-000494,BNK-000494,2025-02-12,230600,INR
TXN-000495,BNK-000495,2025-08-22,39350,INR
TXN-000497,BNK-000497,2025-03-22,115000,INR
TXN-000498,BNK-000498,2025-05-11,44050,INR
TXN-000499,BNK-000499,2025-08-26,141899,INR
TXN-000500,BNK-000500,2025-06-04,119900,INR
