transaction_id,gateway_transaction_id,transaction_date,amount_inr,fee_inr,currency
TXN-000165,GW-000165,2025-06-06,72500,0,INR
TXN-000166,GW-000166,2025-05-04,201550,0,INR
TXN-000166,GW-DUP-000166,2025-05-04,201550,0,INR
TXN-000167,GW-000167,2025-07-25,88450,0,INR
TXN-000168,GW-000168,2025-12-26,95900,0,INR
TXN-000169,GW-000169,2025-03-04,13800,0,INR
TXN-000170,GW-000170,2025-09-21,209150,3765,INR
TXN-000171,GW-000171,2025-10-30,179650,0,INR
TXN-000172,GW-000172,2025-01-03,216150,0,INR
TXN-000173,GW-000173,2025-12-07,153500,0,INR
TXN-000173,GW-DUP-000173,2025-12-07,153500,0,INR
TXN-000174,GW-000174,2025-03-29,68050,0,INR
TXN-000175,GW-000175,2025-05-30,45750,0,INR
TXN-000176,GW-000176,2025-10-20,237750,0,INR
TXN-000177,GW-000177,2025-03-17,97750,1759,INR
TXN-000178,GW-000178,2025-05-25,245750,0,INR
TXN-000179,GW-000179,2025-06-14,46350,0,INR
TXN-000180,GW-000180,2025-12-02,76300,0,INR
TXN-000180,GW-DUP-000180,2025-12-02,76300,0,INR
TXN-000181,GW-000181,2025-10-22,63500,0,INR
TXN-000182,GW-000182,2025-01-25,101550,0,INR
TXN-000183,GW-000183,2025-08-08,147850,0,INR
TXN-000184,GW-000184,2025-10-19,84350,1518,INR
TXN-000185,GW-000185,2025-04-09,74000,0,INR
TXN-000186,GW-000186,2025-02-13,17700,0,INR
TXN-000187,GW-000187,2025-06-26,200800,0,INR
TXN-000187,GW-DUP-000187,2025-06-26,200800,0,INR
TXN-000188,GW-000188,2025-07-10,113550,0,INR
TXN-000189,GW-000189,2025-06-01,47850,0,INR
TXN-000190,GW-000190,2025-10-16,160500,0,INR
TXN-000191,GW-000191,2025-08-26,113800,2048,INR
TXN-000192,GW-000192,2025-06-18,80500,0,INR
TXN-000193,GW-000193,2025-08-19,14300,0,INR
TXN-000194,GW-000194,2025-05-31,179300,0,INR
TXN-000194,GW-DUP-000194,2025-05-31,179300,0,INR
TXN-000195,GW-000195,2025-04-11,65250,0,INR
TXN-000196,GW-000196,2025-11-02,84650,0,INR
TXN-000197,GW-000197,2025-03-16,58900,0,INR
TXN-000198,GW-000198,2025-12-28,35800,644,INR
TXN-000199,GW-000199,2025-05-13,99600,0,INR
TXN-000200,GW-000200,2025-08-15,96050,0,INR
TXN-000201,GW-000201,2025-09-09,57850,0,INR
TXN-000201,GW-DUP-000201,2025-09-09,57850,0,INR
TXN-000202,GW-000202,2025-01-02,149400,0,INR
TXN-000203,GW-000203,2025-01-20,18150,0,INR
TXN-000204,GW-000204,2025-01-27,232300,0,INR
TXN-000205,GW-000205,2025-11-07,19750,356,INR
TXN-000206,GW-000206,2025-12-31,166350,0,INR
TXN-000207,GW-000207,2025-08-19,142900,0,INR
TXN-000208,GW-000208,2025-09-08,208300,0,INR
TXN-000208,GW-DUP-000208,2025-09-08,208300,0,INR
TXN-000209,GW-000209,2025-09-09,94500,0,INR
TXN-000210,GW-000210,2025-08-17,2200,0,INR
TXN-000211,GW-000211,2025-07-29,137050,0,INR
TXN-000212,GW-000212,2025-08-13,130350,2346,INR
TXN-000213,GW-000213,2025-02-28,233300,0,INR
TXN-000214,GW-000214,2025-04-14,142050,0,INR
TXN-000215,GW-000215,2025-04-10,238450,0,INR
TXN-000215,GW-DUP-000215,2025-04-10,238450,0,INR
TXN-000216,GW-000216,2025-06-24,231850,0,INR
TXN-000217,GW-000217,2025-08-03,243800,0,INR
TXN-000218,GW-000218,2025-09-05,204050,0,INR
TXN-000219,GW-000219,2025-11-06,10400,187,INR
TXN-000220,GW-000220,2025-11-13,230650,0,INR
TXN-000221,GW-000221,2025-04-11,36350,0,INR
TXN-000222,GW-000222,2025-04-20,9650,0,INR
TXN-000222,GW-DUP-000222,2025-04-20,9650,0,INR
TXN-000223,GW-000223,2025-11-22,185300,0,INR
TXN-000224,GW-000224,2025-02-10,86300,0,INR
TXN-000225,GW-000225,2025-02-15,149500,0,INR
TXN-000226,GW-000226,2025-01-07,26750,481,INR
TXN-000227,GW-000227,2025-08-02,249250,0,INR
TXN-000228,GW-000228,2025-06-01,72350,0,INR
TXN-000229,GW-000229,2025-09-25,17650,0,INR
TXN-000229,GW-DUP-000229,2025-09-25,17650,0,INR
TXN-000230,GW-000230,2025-03-17,35750,0,INR
TXN-000231,GW-000231,2025-08-09,86450,0,INR
TXN-000232,GW-000232,2025-11-24,192400,0,INR
TXN-000233,GW-000233,2025-02-13,26350,474,INR
TXN-000234,GW-000234,2025-02-09,3000,0,INR
TXN-000235,GW-000235,2025-10-30,5300,0,INR
TXN-000236,GW-000236,2025-09-01,116650,0,INR
TXN-000236,GW-DUP-000236,2025-09-01,116650,0,INR
TXN-000237,GW-000237,2025-06-19,40400,0,INR
TXN-000238,GW-000238,2025-07-19,225800,0,INR
TXN-000239,GW-000239,2025-06-06,81500,0,INR
TXN-000240,GW-000240,2025-07-07,66550,1198,INR
TXN-000241,GW-000241,2025-09-05,128700,0,INR
TXN-000242,GW-000242,2025-01-11,136050,0,INR
TXN-000243,GW-000243,2025-05-29,211550,0,INR
TXN-000243,GW-DUP-000243,2025-05-29,211550,0,INR
TXN-000244,GW-000244,2025-06-06,45750,0,INR
TXN-000245,GW-000245,2025-03-07,84750,0,INR
TXN-000246,GW-000246,2025-12-28,129200,0,INR
TXN-000247,GW-000247,2025-11-25,198700,3577,INR
TXN-000248,GW-000248,2025-05-23,194850,0,INR
TXN-000249,GW-000249,2025-04-28,205450,0,INR
TXN-000250,GW-000250,2025-04-17,134200,0,INR
TXN-000250,GW-DUP-000250,2025-04-17,134200,0,INR
TXN-000251,GW-000251,2025-04-19,59300,0,INR
TXN-000252,GW-000252,2025-12-14,189150,0,INR
TXN-000253,GW-000253,2025-08-31,92050,0,INR
TXN-000254,GW-000254,2025-04-13,12850,231,INR
TXN-000255,GW-000255,2025-02-23,226850,0,INR
TXN-000256,GW-000256,2025-10-18,242650,0,INR
TXN-000257,GW-000257,2025-12-28,241100,0,INR
TXN-000257,GW-DUP-000257,2025-12-28,241100,0,INR
TXN-000258,GW-000258,2025-06-15,197550,0,INR
TXN-000259,GW-000259,2025-09-07,122450,0,INR
TXN-000260,GW-000260,2025-10-28,64100,0,INR
TXN-000261,GW-000261,2025-08-21,45550,820,INR
TXN-000262,GW-000262,2025-10-07,73250,0,INR
TXN-000263,GW-000263,2025-12-25,146350,0,INR
TXN-000264,GW-000264,2025-12-18,209700,0,INR
TXN-000264,GW-DUP-000264,2025-12-18,209700,0,INR
TXN-000265,GW-000265,2025-03-23,157600,0,INR
TXN-000266,GW-000266,2025-10-01,203450,0,INR
TXN-000267,GW-000267,2025-03-02,27300,0,INR
TXN-000268,GW-000268,2025-04-22,219050,3943,INR
TXN-000269,GW-000269,2025-04-09,4650,0,INR
TXN-000270,GW-000270,2025-11-26,19950,0,INR
TXN-000271,GW-000271,2025-11-13,192950,0,INR
TXN-000271,GW-DUP-000271,2025-11-13,192950,0,INR
TXN-000272,GW-000272,2025-03-05,244750,0,INR
TXN-000273,GW-000273,2025-09-08,248650,0,INR
TXN-000274,GW-000274,2025-08-11,249900,0,INR
TXN-000275,GW-000275,2025-08-01,22750,409,INR
TXN-000276,GW-000276,2025-12-27,169600,0,INR
TXN-000277,GW-000277,2025-10-14,80300,0,INR
TXN-000278,GW-000278,2025-07-31,10800,0,INR
TXN-000278,GW-DUP-000278,2025-07-31,10800,0,INR
TXN-000279,GW-000279,2025-01-30,241650,0,INR
TXN-000280,GW-000280,2025-07-26,33250,0,INR
TXN-000281,GW-000281,2025-01-11,119250,0,INR
TXN-000282,GW-000282,2025-03-25,29200,526,INR
TXN-000283,GW-000283,2025-05-21,88850,0,INR
TXN-000284,GW-000284,2025-11-22,161150,0,INR
TXN-000285,GW-000285,2025-04-03,211450,0,INR
TXN-000285,GW-DUP-000285,2025-04-03,211450,0,INR
TXN-000286,GW-000286,2025-07-28,74900,0,INR
TXN-000287,GW-000287,2025-09-12,140600,0,INR
TXN-000288,GW-000288,2025-03-25,221500,0,INR
TXN-000289,GW-000289,2025-03-01,71000,1278,INR
TXN-000290,GW-000290,2025-02-02,115300,0,INR
TXN-000291,GW-000291,2025-11-04,176050,0,INR
TXN-000292,GW-000292,2025-08-03,61900,0,INR
TXN-000292,GW-DUP-000292,2025-08-03,61900,0,INR
TXN-000293,GW-000293,2025-02-20,189900,0,INR
TXN-000294,GW-000294,2025-05-26,220050,0,INR
TXN-000295,GW-000295,2025-09-16,84350,0,INR
TXN-000296,GW-000296,2025-03-14,236150,4251,INR
TXN-000297,GW-000297,2025-12-01,59100,0,INR
TXN-000298,GW-000298,2025-04-04,58800,0,INR
TXN-000299,GW-000299,2025-04-21,223800,0,INR
TXN-000299,GW-DUP-000299,2025-04-21,223800,0,INR
TXN-000300,GW-000300,2025-08-10,57350,0,INR
TXN-000301,GW-000301,2025-05-11,75450,0,INR
TXN-000302,GW-000302,2025-08-12,13550,0,INR
TXN-000303,GW-000303,2025-02-13,217150,3909,INR
TXN-000304,GW-000304,2025-12-02,58450,0,INR
TXN-000305,GW-000305,2025-10-01,171400,0,INR
TXN-000306,GW-000306,2025-06-19,213850,0,INR
TXN-000306,GW-DUP-000306,2025-06-19,213850,0,INR
TXN-000307,GW-000307,2025-09-30,46800,0,INR
TXN-000308,GW-000308,2025-03-25,144200,0,INR
TXN-000309,GW-000309,2025-04-17,194100,0,INR
TXN-000310,GW-000310,2025-07-03,123200,2218,INR
TXN-000311,GW-000311,2025-07-31,245600,0,INR
TXN-000312,GW-000312,2025-10-20,203600,0,INR
TXN-000313,GW-000313,2025-07-03,207700,0,INR
TXN-000313,GW-DUP-000313,2025-07-03,207700,0,INR
TXN-000314,GW-000314,2025-03-06,37700,0,INR
TXN-000315,GW-000315,2025-08-05,177550,0,INR
TXN-000316,GW-000316,2025-11-11,24150,0,INR
TXN-000317,GW-000317,2025-05-15,90250,1624,INR
TXN-000318,GW-000318,2025-02-11,173100,0,INR
TXN-000319,GW-000319,2025-07-04,81950,0,INR
TXN-000320,GW-000320,2025-09-09,113150,0,INR
TXN-000320,GW-DUP-000320,2025-09-09,113150,0,INR
TXN-000321,GW-000321,2025-04-23,176450,0,INR
TXN-000322,GW-000322,2025-08-28,179500,0,INR
TXN-000323,GW-000323,2025-09-05,29250,0,INR
TXN-000324,GW-000324,2025-11-28,23400,421,INR
TXN-000325,GW-000325,2025-05-07,81950,0,INR
TXN-000326,GW-000326,2025-06-09,209150,0,INR
TXN-000327,GW-000327,2025-09-30,42300,0,INR
TXN-000327,GW-DUP-000327,2025-09-30,42300,0,INR
TXN-000328,GW-000328,2025-03-15,165100,0,INR
TXN-000329,GW-000329,2025-04-29,134800,0,INR
TXN-000330,GW-000330,2025-01-24,99600,0,INR
TXN-000331,GW-000331,2025-09-29,55950,1007,INR
TXN-000332,GW-000332,2025-12-24,84700,0,INR
TXN-000333,GW-000333,2025-04-10,212750,0,INR
TXN-000334,GW-000334,2025-08-27,142600,0,INR
TXN-000334,GW-DUP-000334,2025-08-27,142600,0,INR
TXN-000335,GW-000335,2025-08-20,113900,0,INR
TXN-000336,GW-000336,2025-02-17,144800,0,INR
TXN-000337,GW-000337,2025-03-19,169000,0,INR
TXN-000338,GW-000338,2025-11-30,154450,2780,INR
TXN-000339,GW-000339,2025-05-16,153500,0,INR
TXN-000340,GW-000340,2025-04-13,231200,0,INR
TXN-000341,GW-000341,2025-09-10,35300,0,INR
TXN-000341,GW-DUP-000341,2025-09-10,35300,0,INR
TXN-000342,GW-000342,2025-05-27,177150,0,INR
TXN-000343,GW-000343,2025-02-15,64350,0,INR
TXN-000344,GW-000344,2025-06-03,86950,0,INR
TXN-000345,GW-000345,2025-05-30,217600,3917,INR
TXN-000346,GW-000346,2025-01-21,128150,0,INR
TXN-000347,GW-000347,2025-08-27,46450,0,INR
TXN-000348,GW-000348,2025-04-27,95050,0,INR
TXN-000348,GW-DUP-000348,2025-04-27,95050,0,INR
TXN-000349,GW-000349,2025-04-12,249450,0,INR
TXN-000350,GW-000350,2025-03-02,212450,0,INR
TXN-000351,GW-000351,2025-04-06,93750,0,INR
TXN-000352,GW-000352,2025-08-06,213950,3851,INR
TXN-000353,GW-000353,2025-08-24,210000,0,INR
TXN-000354,GW-000354,2025-03-01,158150,0,INR
TXN-000355,GW-000355,2025-02-26,248600,0,INR
TXN-000355,GW-DUP-000355,2025-02-26,248600,0,INR
TXN-000356,GW-000356,2025-05-23,163700,0,INR
TXN-000357,GW-000357,2025-05-26,42450,0,INR
TXN-000358,GW-000358,2025-05-16,150200,0,INR
TXN-000359,GW-000359,2025-12-22,247200,4450,INR
TXN-000360,GW-000360,2025-02-03,131950,0,INR
TXN-000361,GW-000361,2025-07-25,226250,0,INR
TXN-000362,GW-000362,2025-02-09,32200,0,INR
TXN-000362,GW-DUP-000362,2025-02-09,32200,0,INR
TXN-000363,GW-000363,2025-05-12,147000,0,INR
TXN-000364,GW-000364,2025-01-09,163550,0,INR
TXN-000365,GW-000365,2025-06-01,124850,0,INR
TXN-000366,GW-000366,2025-03-04,167750,3019,INR
TXN-000367,GW-000367,2025-08-24,103350,0,INR
TXN-000368,GW-000368,2025-11-23,206600,0,INR
TXN-000369,GW-000369,2025-06-24,150850,0,INR
TXN-000369,GW-DUP-000369,2025-06-24,150850,0,INR
TXN-000370,GW-000370,2025-12-14,168650,0,INR
TXN-000371,GW-000371,2025-03-13,144300,0,INR
TXN-000372,GW-000372,2025-01-27,197350,0,INR
TXN-000373,GW-000373,2025-10-27,7050,127,INR
TXN-000374,GW-000374,2025-03-01,64900,0,INR
TXN-000375,GW-000375,2025-08-26,136950,0,INR
TXN-000376,GW-000376,2025-11-26,180200,0,INR
TXN-000376,GW-DUP-000376,2025-11-26,180200,0,INR
TXN-000377,GW-000377,2025-11-30,243050,0,INR
TXN-000378,GW-000378,2025-07-29,165100,0,INR
TXN-000379,GW-000379,2025-05-03,200500,0,INR
TXN-000380,GW-000380,2025-10-06,137600,2477,INR
TXN-000381,GW-000381,2025-04-10,209000,0,INR
TXN-000382,GW-000382,2025-10-22,154150,0,INR
TXN-000383,GW-000383,2025-03-22,127350,0,INR
TXN-000383,GW-DUP-000383,2025-03-22,127350,0,INR
TXN-000384,GW-000384,2025-12-24,205700,0,INR
TXN-000385,GW-000385,2025-11-26,119850,0,INR
TXN-000386,GW-000386,2025-06-11,155800,0,INR
TXN-000387,GW-000387,2025-12-24,103450,1862,INR
TXN-000388,GW-000388,2025-07-17,39650,0,INR
TXN-000389,GW-000389,2025-08-23,28550,0,INR
TXN-000390,GW-000390,2025-03-08,205950,0,INR
TXN-000390,GW-DUP-000390,2025-03-08,205950,0,INR
TXN-000391,GW-000391,2025-08-21,236550,0,INR
TXN-000392,GW-000392,2025-07-12,43450,0,INR
TXN-000393,GW-000393,2025-01-26,172000,0,INR
TXN-000394,GW-000394,2025-11-26,119250,2146,INR
TXN-000395,GW-000395,2025-01-13,16300,0,INR
TXN-000396,GW-000396,2025-09-19,154000,0,INR
TXN-000397,GW-000397,2025-05-10,211300,0,INR
TXN-000397,GW-DUP-000397,2025-05-10,211300,0,INR
TXN-000398,GW-000398,2025-09-25,84200,0,INR
TXN-000399,GW-000399,2025-08-07,39700,0,INR
TXN-000400,GW-000400,2025-05-22,193000,0,INR
TXN-000401,GW-000401,2025-09-28,42850,771,INR
TXN-000402,GW-000402,2025-07-12,178850,0,INR
TXN-000403,GW-000403,2025-11-29,12300,0,INR
TXN-000404,GW-000404,2025-04-09,5950,0,INR
TXN-000404,GW-DUP-000404,2025-04-09,5950,0,INR
TXN-000405,GW-000405,2025-10-23,244400,0,INR
TXN-000406,GW-000406,2025-01-09,145300,0,INR
TXN-000407,GW-000407,2025-07-22,69100,0,INR
TXN-000408,GW-000408,2025-06-05,181500,3267,INR
TXN-000409,GW-000409,2025-06-18,176900,0,INR
TXN-000410,GW-000410,2025-02-27,63650,0,INR
TXN-000411,GW-000411,2025-05-15,134900,0,INR
TXN-000411,GW-DUP-000411,2025-05-15,134900,0,INR
TXN-000412,GW-000412,2025-11-16,90200,0,INR
TXN-000413,GW-000413,2025-04-18,117500,0,INR
TXN-000414,GW-000414,2025-07-01,110600,0,INR
TXN-000415,GW-000415,2025-04-07,6550,118,INR
TXN-000416,GW-000416,2025-05-21,197700,0,INR
TXN-000417,GW-000417,2025-09-10,230100,0,INR
TXN-000418,GW-000418,2025-11-21,91350,0,INR
TXN-000418,GW-DUP-000418,2025-11-21,91350,0,INR
TXN-000419,GW-000419,2025-09-03,199150,0,INR
TXN-000420,GW-000420,2025-08-22,122700,0,INR
TXN-000421,GW-000421,2025-03-19,105650,0,INR
TXN-000422,GW-000422,2025-01-01,42050,757,INR
TXN-000423,GW-000423,2025-12-25,177200,0,INR
TXN-000424,GW-000424,2025-12-30,68950,0,INR
TXN-000425,GW-000425,2025-01-08,103400,0,INR
TXN-000425,GW-DUP-000425,2025-01-08,103400,0,INR
TXN-000426,GW-000426,2025-03-02,242100,0,INR
