transaction_id,invoice_date,amount_inr,currency
TXN-000175,2025-05-30,45750,INR
TXN-000176,2025-10-20,237750,INR
TXN-000177,2025-03-17,97750,INR
TXN-000178,2025-05-25,245750,INR
TXN-000179,2025-06-14,48650,INR
TXN-000180,2025-12-02,76300,INR
TXN-000181,2025-10-22,63500,INR
TXN-000182,2025-01-25,101550,INR
TXN-000183,2025-08-08,147850,INR
TXN-000184,2025-10-19,84350,INR
TXN-000185,2025-04-09,74000,INR
TXN-000186,2025-02-13,19900,INR
TXN-000187,2025-06-26,200800,INR
TXN-000188,2025-07-10,113550,INR
TXN-000189,2025-06-01,47850,INR
TXN-000190,2025-10-16,160500,INR
TXN-000191,2025-08-26,113800,INR
TXN-000192,2025-06-18,80500,INR
TXN-000193,2025-08-19,17650,INR
TXN-000194,2025-05-31,179300,INR
TXN-000195,2025-04-11,65250,INR
TXN-000196,2025-11-02,84650,INR
TXN-000197,2025-03-16,58900,INR
TXN-000198,2025-12-28,35800,INR
TXN-000199,2025-05-13,99600,INR
TXN-000200,2025-08-15,99850,INR
TXN-000201,2025-09-09,57850,INR
TXN-000202,2025-01-02,149400,INR
TXN-000203,2025-01-20,18150,INR
TXN-000204,2025-01-27,232300,INR
TXN-000205,2025-11-07,19750,INR
TXN-000206,2025-12-31,166350,INR
TXN-000207,2025-08-19,150300,INR
TXN-000208,2025-09-08,208300,INR
TXN-000209,2025-09-09,94500,INR
TXN-000210,2025-08-17,2200,INR
TXN-000211,2025-07-29,137050,INR
TXN-000212,2025-08-13,130350,INR
TXN-000213,2025-02-28,233300,INR
TXN-000214,2025-04-14,149650,INR
TXN-000215,2025-04-10,238450,INR
TXN-000216,2025-06-24,231850,INR
TXN-000217,2025-08-03,243800,INR
TXN-000218,2025-09-05,204050,INR
TXN-000219,2025-11-06,10400,INR
TXN-000220,2025-11-13,230650,INR
TXN-000221,2025-04-11,36550,INR
TXN-000222,2025-04-20,9650,INR
TXN-000223,2025-11-22,185300,INR
TXN-000224,2025-02-10,86300,INR
TXN-000225,2025-02-15,149500,INR
TXN-000226,2025-01-07,26750,INR
TXN-000227,2025-08-02,249250,INR
TXN-000228,2025-06-01,80550,INR
TXN-000229,2025-09-25,17650,INR
TXN-000230,2025-03-17,35750,INR
TXN-000231,2025-08-09,86450,INR
TXN-000232,2025-11-24,192400,INR
TXN-000233,2025-02-13,26350,INR
TXN-000234,2025-02-09,3000,INR
TXN-000235,2025-10-30,6650,INR
TXN-000236,2025-09-01,116650,INR
TXN-000237,2025-06-19,40400,INR
TXN-000238,2025-07-19,225800,INR
TXN-000239,2025-06-06,81500,INR
TXN-000240,2025-07-07,66550,INR
TXN-000241,2025-09-05,128700,INR
TXN-000242,2025-01-11,137500,INR
TXN-000243,2025-05-29,211550,INR
TXN-000244,2025-06-06,45750,INR
TXN-000245,2025-03-07,84750,INR
TXN-000246,2025-12-28,129200,INR
TXN-000247,2025-11-25,198700,INR
TXN-000248,2025-05-23,194850,INR
TXN-000249,2025-04-28,213250,INR
TXN-000250,2025-04-17,134200,INR
TXN-000251,2025-04-19,59300,INR
TXN-000252,2025-12-14,189150,INR
TXN-000253,2025-08-31,92050,INR
TXN-000254,2025-04-13,12850,INR
TXN-000255,2025-02-23,226850,INR
TXN-000256,2025-10-18,243900,INR
TXN-000257,2025-12-28,241100,INR
TXN-000258,2025-06-15,197550,INR
TXN-000259,2025-09-07,122450,INR
TXN-000260,2025-10-28,64100,INR
TXN-000261,2025-08-21,45550,INR
TXN-000262,2025-10-07,73250,INR
TXN-000263,2025-12-25,149250,INR
TXN-000264,2025-12-18,209700,INR
TXN-000265,2025-03-23,157600,INR
TXN-000266,2025-10-01,203450,INR
TXN-000267,2025-03-02,27300,INR
TXN-000268,2025-04-22,219050,INR
TXN-000269,2025-04-09,4650,INR
TXN-000270,2025-11-26,29750,INR
TXN-000271,2025-11-13,192950,INR
TXN-000272,2025-03-05,244750,INR
TXN-000273,2025-09-08,248650,INR
TXN-000274,2025-08-11,249900,INR
TXN-000275,2025-08-01,22750,INR
TXN-000276,2025-12-27,169600,INR
TXN-000277,2025-10-14,88150,INR
TXN-000278,2025-07-31,10800,INR
TXN-000279,2025-01-30,241650,INR
TXN-000280,2025-07-26,33250,INR
TXN-000281,2025-01-11,119250,INR
TXN-000282,2025-03-25,29200,INR
TXN-000283,2025-05-21,88850,INR
TXN-000284,2025-11-22,170650,INR
TXN-000285,2025-04-03,211450,INR
TXN-000286,2025-07-28,74900,INR
TXN-000287,2025-09-12,140600,INR
TXN-000288,2025-03-25,221500,INR
TXN-000289,2025-03-01,71000,INR
TXN-000290,2025-02-02,115300,INR
TXN-000291,2025-11-04,179100,INR
TXN-000292,2025-08-03,61900,INR
TXN-000293,2025-02-20,189900,INR
TXN-000294,2025-05-26,220050,INR
TXN-000295,2025-09-16,84350,INR
TXN-000296,2025-03-14,236150,INR
TXN-000297,2025-12-01,59100,INR
TXN-000298,2025-04-04,62050,INR
TXN-000299,2025-04-21,223800,INR
TXN-000300,2025-08-10,57350,INR
TXN-000301,2025-05-11,75450,INR
TXN-000302,2025-08-12,13550,INR
TXN-000303,2025-02-13,217150,INR
TXN-000304,2025-12-02,58450,INR
TXN-000305,2025-10-01,175450,INR
TXN-000306,2025-06-19,213850,INR
TXN-000307,2025-09-30,46800,INR
TXN-000308,2025-03-25,144200,INR
TXN-000309,2025-04-17,194100,INR
TXN-000310,2025-07-03,123200,INR
TXN-000311,2025-07-31,245600,INR
TXN-000312,2025-10-20,208250,INR
TXN-000313,2025-07-03,207700,INR
TXN-000314,2025-03-06,37700,INR
TXN-000315,2025-08-05,177550,INR
TXN-000316,2025-11-11,24150,INR
TXN-000317,2025-05-15,90250,INR
TXN-000318,2025-02-11,173100,INR
TXN-000319,2025-07-04,84150,INR
TXN-000320,2025-09-09,113150,INR
TXN-000321,2025-04-23,176450,INR
TXN-000322,2025-08-28,179500,INR
TXN-000323,2025-09-05,29250,INR
TXN-000324,2025-11-28,23400,INR
TXN-000325,2025-05-07,81950,INR
TXN-000326,2025-06-09,210700,INR
TXN-000327,2025-09-30,42300,INR
TXN-000328,2025-03-15,165100,INR
TXN-000329,2025-04-29,134800,INR
TXN-000330,2025-01-24,99600,INR
TXN-000331,2025-09-29,55950,INR
TXN-000332,2025-12-24,84700,INR
TXN-000333,2025-04-10,220600,INR
TXN-000334,2025-08-27,142600,INR
TXN-000335,2025-08-20,113900,INR
TXN-000336,2025-02-17,144800,INR
TXN-000337,2025-03-19,169000,INR
TXN-000338,2025-11-30,154450,INR
TXN-000339,2025-05-16,153500,INR
TXN-000340,2025-04-13,237850,INR
TXN-000341,2025-09-10,35300,INR
TXN-000342,2025-05-27,177150,INR
TXN-000343,2025-02-15,64350,INR
TXN-000344,2025-06-03,86950,INR
TXN-000345,2025-05-30,217600,INR
TXN-000346,2025-01-21,128150,INR
TXN-000347,2025-08-27,51650,INR
TXN-000348,2025-04-27,95050,INR
TXN-000349,2025-04-12,249450,INR
TXN-000350,2025-03-02,212450,INR
TXN-000351,2025-04-06,93750,INR
TXN-000352,2025-08-06,213950,INR
TXN-000353,2025-08-24,210000,INR
TXN-000354,2025-03-01,158900,INR
TXN-000355,2025-02-26,248600,INR
TXN-000356,2025-05-23,163700,INR
TXN-000357,2025-05-26,42450,INR
TXN-000358,2025-05-16,150200,INR
TXN-000359,2025-12-22,247200,INR
TXN-000360,2025-02-03,131950,INR
TXN-000361,2025-07-25,231100,INR
TXN-000362,2025-02-09,32200,INR
TXN-000363,2025-05-12,147000,INR
TXN-000364,2025-01-09,163550,INR
TXN-000365,2025-06-01,124850,INR
TXN-000366,2025-03-04,167750,INR
TXN-000367,2025-08-24,103350,INR
TXN-000368,2025-11-23,211700,INR
TXN-000369,2025-06-24,150850,INR
TXN-000370,2025-12-14,168650,INR
TXN-000371,2025-03-13,144300,INR
TXN-000372,2025-01-27,197350,INR
TXN-000373,2025-10-27,7050,INR
TXN-000374,2025-03-01,64900,INR
TXN-000375,2025-08-26,140200,INR
TXN-000376,2025-11-26,180200,INR
TXN-000377,2025-11-30,243050,INR
TXN-000378,2025-07-29,165100,INR
TXN-000379,2025-05-03,200500,INR
TXN-000380,2025-10-06,137600,INR
TXN-000381,2025-04-10,209000,INR
TXN-000382,2025-10-22,156350,INR
TXN-000383,2025-03-22,127350,INR
TXN-000384,2025-12-24,205700,INR
TXN-000385,2025-11-26,119850,INR
TXN-000386,2025-06-11,155800,INR
TXN-000387,2025-12-24,103450,INR
TXN-000388,2025-07-17,39650,INR
TXN-000389,2025-08-23,33800,INR
TXN-000390,2025-03-08,205950,INR
TXN-000391,2025-08-21,236550,INR
TXN-000392,2025-07-12,43450,INR
TXN-000393,2025-01-26,172000,INR
TXN-000394,2025-11-26,119250,INR
TXN-000395,2025-01-13,16300,INR
TXN-000396,2025-09-19,163250,INR
TXN-000397,2025-05-10,211300,INR
TXN-000398,2025-09-25,84200,INR
TXN-000399,2025-08-07,39700,INR
TXN-000400,2025-05-22,193000,INR
TXN-000401,2025-09-28,42850,INR
TXN-000402,2025-07-12,178850,INR
TXN-000403,2025-11-29,14700,INR
TXN-000404,2025-04-09,5950,INR
TXN-000405,2025-10-23,244400,INR
TXN-000406,2025-01-09,145300,INR
TXN-000407,2025-07-22,69100,INR
TXN-000408,2025-06-05,181500,INR
TXN-000409,2025-06-18,176900,INR
TXN-000410,2025-02-27,66700,INR
TXN-000411,2025-05-15,134900,INR
TXN-000412,2025-11-16,90200,INR
TXN-000413,2025-04-18,117500,INR
TXN-000414,2025-07-01,110600,INR
TXN-000415,2025-04-07,6550,INR
TXN-000416,2025-05-21,197700,INR
TXN-000417,2025-09-10,237700,INR
TXN-000418,2025-11-21,91350,INR
TXN-000419,2025-09-03,199150,INR
TXN-000420,2025-08-22,122700,INR
TXN-000421,2025-03-19,105650,INR
TXN-000422,2025-01-01,42050,INR
TXN-000423,2025-12-25,177200,INR
TXN-000424,2025-12-30,76950,INR
TXN-000425,2025-01-08,103400,INR
TXN-000426,2025-03-02,242100,INR
TXN-000427,2025-04-04,126650,INR
TXN-000428,2025-08-07,125750,INR
TXN-000429,2025-09-22,16800,INR
TXN-000430,2025-05-14,103650,INR
TXN-000431,2025-09-24,62400,INR
TXN-000432,2025-01-01,19800,INR
TXN-000433,2025-11-02,199500,INR
TXN-000434,2025-11-12,210150,INR
TXN-000435,2025-08-19,192200,INR
TXN-000436,2025-03-23,80400,INR
TXN-000437,2025-11-22,120600,INR
TXN-000438,2025-05-10,72800,INR
TXN-000439,2025-06-25,196000,INR
TXN-000440,2025-06-15,66850,INR
TXN-000441,2025-12-20,100200,INR
TXN-000442,2025-11-07,19750,INR
TXN-000443,2025-05-23,226400,INR
TXN-000444,2025-12-05,156950,INR
TXN-000445,2025-06-13,35450,INR
TXN-000446,2025-04-04,226700,INR
TXN-000447,2025-08-09,74500,INR
TXN-000448,2025-08-23,209400,INR
TXN-000449,2025-08-11,36250,INR
TXN-000450,2025-05-07,47000,INR
TXN-000451,2025-01-22,131450,INR
TXN-000452,2025-07-07,73350,INR
TXN-000453,2025-11-02,53800,INR
TXN-000454,2025-03-19,160000,INR
TXN-000455,2025-05-31,56500,INR
TXN-000456,2025-02-21,233000,INR
TXN-000457,2025-10-28,58050,INR
TXN-000458,2025-11-24,229400,INR
TXN-000459,2025-11-13,221600,INR
TXN-000460,2025-02-15,130550,INR
TXN-000461,2025-12-07,200900,INR
TXN-000462,2025-04-04,160400,INR
TXN-000463,2025-09-06,231950,INR
TXN-000464,2025-10-19,91500,INR
TXN-000465,2025-10-15,95200,INR
TXN-000466,2025-09-12,46850,INR
TXN-000467,2025-08-07,67600,INR
TXN-000468,2025-12-21,203750,INR
TXN-000469,2025-03-30,113800,INR
TXN-000470,2025-01-17,220550,INR
TXN-000471,2025-01-14,157500,INR
TXN-000472,2025-05-10,73150,INR
TXN-000473,2025-12-22,54700,INR
TXN-000474,2025-05-22,101000,INR
TXN-000475,2025-01-26,66900,INR
TXN-000476,2025-09-10,4650,INR
TXN-000477,2025-09-14,70350,INR
TXN-000478,2025-12-07,211300,INR
TXN-000479,2025-09-14,105600,INR
TXN-000480,2025-01-03,113900,INR
TXN-000481,2025-12-19,188400,INR
TXN-000482,2025-07-10,25750,INR
TXN-000483,2025-03-18,30000,INR
TXN-000484,2025-08-23,139300,INR
TXN-000485,2025-08-18,238950,INR
TXN-000486,2025-11-28,53200,INR
TXN-000487,2025-04-29,249700,INR
TXN-000488,2025-09-30,29200,INR
TXN-000489,2025-05-16,55200,INR
TXN-000490,2025-06-06,243900,INR
TXN-000491,2025-02-13,242700,INR
TXN-000492,2025-05-15,113150,INR
TXN-000493,2025-09-25,37750,INR
TXN-000494,2025-02-09,236550,INR
TXN-000495,2025-08-20,39350,INR
TXN-000496,2025-03-14,26450,INR
TXN-000497,2025-03-21,117600,INR
TXN-000498,2025-05-09,44050,INR
TXN-000499,2025-08-25,144500,INR
TXN-000500,2025-05-28,119900,INR
